age,gender,living,edu,exedu,married,income,happiness,status,party,health,y2018,y2016,logincome
29,1,0,7,-8,1,100000,1,2,5,5,1,0,5
21,0,1,4,7,1,30000,1,1,5,3,1,0,4.477121255
28,0,1,7,-8,1,30000,1,4,5,2,1,0,4.477121255
31,0,0,7,-8,1,92000,1,1,5,1,1,0,4.963787827
42,1,1,6,-8,1,5000,1,2,1,2,1,0,3.698970004
31,1,0,6,-8,1,60000,1,1,5,1,1,0,4.77815125
32,0,0,7,-8,1,50000,1,3,5,2,1,0,4.698970004
31,0,1,7,-8,1,20000,1,3,-8,3,1,0,4.301029996
29,0,1,4,-8,1,12000,1,3,5,5,1,0,4.079181246
50,0,0,5,-8,0,50000,1,3,1,2,1,0,4.698970004
28,0,0,7,-8,1,110000,1,4,5,3,1,0,5.041392685
43,0,1,4,-8,1,50000,0,2,5,4,1,0,4.698970004
31,0,1,4,-8,1,20000,1,3,5,3,1,0,4.301029996
33,1,1,4,-8,1,60000,1,3,5,3,1,0,4.77815125
37,1,1,4,-8,1,60000,1,3,5,5,1,0,4.77815125
32,1,0,7,-8,1,128000,1,3,-8,3,1,0,5.10720997
28,0,1,4,-8,1,15000,1,3,5,3,1,0,4.176091259
23,1,1,4,7,1,12000,1,1,5,1,1,0,4.079181246
30,1,1,6,-8,1,122000,1,3,-8,3,1,0,5.086359831
29,1,1,4,-8,1,60000,1,3,5,2,1,0,4.77815125
27,1,0,7,-8,1,27600,1,3,-8,2,1,0,4.440909082
51,1,0,6,-8,1,33000,1,3,1,3,1,0,4.51851394
29,1,0,7,-8,0,90000,1,3,5,3,1,0,4.954242509
44,1,0,5,-8,1,80000,1,3,5,4,1,0,4.903089987
42,0,0,5,-8,1,48000,1,3,5,3,1,0,4.681241237
41,0,0,6,-8,1,160000,1,4,5,3,1,0,5.204119983
24,1,0,6,7,0,70000,1,2,5,2,1,0,4.84509804
37,0,0,5,-8,1,70000,1,3,5,3,1,0,4.84509804
38,1,0,5,-8,1,48000,1,3,5,3,1,0,4.681241237
32,0,0,5,-8,1,65000,1,1,5,2,1,0,4.812913357
32,1,0,5,-8,1,66000,1,3,5,3,1,0,4.819543936
38,0,0,6,-8,1,80000,1,3,5,4,1,0,4.903089987
31,0,0,5,-8,1,26800,1,3,5,2,1,0,4.428134794
38,1,0,6,-8,0,150000,1,2,5,3,1,0,5.176091259
32,0,0,7,-8,0,290000,0,4,5,3,1,0,5.462397998
39,1,0,7,-8,0,53800,1,3,5,3,1,0,4.730782276
44,0,0,6,-8,1,36000,1,3,5,2,1,0,4.556302501
35,1,0,6,-8,1,30000,1,1,5,1,1,0,4.477121255
34,0,0,6,-8,1,27000,1,3,5,3,1,0,4.431363764
22,0,0,6,7,0,60000,1,2,5,1,1,0,4.77815125
38,1,0,7,-8,1,120000,1,4,5,3,1,0,5.079181246
34,0,0,7,-8,1,70000,1,3,5,3,1,0,4.84509804
26,0,1,7,-8,1,40000,1,4,5,3,1,0,4.602059991
27,1,1,4,-8,1,45000,1,3,5,2,1,0,4.653212514
28,1,1,6,-8,1,70000,1,3,5,4,1,0,4.84509804
28,1,1,5,-8,1,60000,1,5,5,1,1,0,4.77815125
25,1,1,3,-8,1,10000,1,3,5,1,1,0,4
40,1,1,4,-8,1,50000,1,3,5,3,1,0,4.698970004
51,1,1,3,-8,1,8000,1,5,5,1,1,0,3.903089987
28,0,1,4,-8,1,5000,1,3,5,3,1,0,3.698970004
32,1,1,4,-8,1,70000,1,4,5,2,1,0,4.84509804
28,1,1,5,-8,1,35000,1,3,5,3,1,0,4.544068044
31,1,0,8,-8,1,200000,1,3,-8,3,1,0,5.301029996
27,0,0,7,-8,1,60000,1,5,5,3,1,0,4.77815125
34,1,0,7,-8,1,50400,1,4,5,5,1,0,4.702430536
43,1,0,4,-8,1,4400,1,3,5,1,1,0,3.643452676
38,1,0,7,-8,1,50400,1,3,-8,5,1,0,4.702430536
30,0,0,7,-8,1,100000,1,3,-8,2,1,0,5
27,0,0,7,-8,1,70000,1,3,5,4,1,0,4.84509804
38,1,0,6,-8,1,35000,1,3,5,4,1,0,4.544068044
37,0,0,7,-8,1,40000,1,3,5,3,1,0,4.602059991
41,0,0,8,-8,1,80000,1,3,-8,3,1,0,4.903089987
40,1,0,6,-8,1,70000,1,4,-8,3,1,0,4.84509804
38,0,0,7,-8,0,84000,1,3,5,3,1,0,4.924279286
42,0,0,7,-8,1,18000,1,3,5,2,1,0,4.255272505
29,0,0,7,-8,1,50000,1,3,-8,2,1,0,4.698970004
28,1,1,6,-8,0,35000,1,5,5,1,1,0,4.544068044
30,0,0,7,-8,1,43000,1,3,-8,3,1,0,4.633468456
35,0,0,6,-8,1,25000,1,3,5,3,1,0,4.397940009
28,0,0,7,-8,1,21000,1,2,5,3,1,0,4.322219295
23,0,0,5,7,1,52000,1,3,-8,3,1,0,4.716003344
27,1,0,7,-8,1,50000,1,4,5,3,1,0,4.698970004
27,0,0,7,-8,1,84000,1,4,5,2,1,0,4.924279286
38,1,0,7,-8,1,102000,1,4,-8,3,1,0,5.008600172
40,0,0,7,-8,1,100000,1,4,5,3,1,0,5
43,0,0,5,-8,1,35000,1,1,5,3,1,0,4.544068044
39,0,0,5,-8,0,40000,1,3,5,2,1,0,4.602059991
36,0,1,4,-8,1,36000,1,3,5,2,1,0,4.556302501
31,0,0,7,-8,0,82800,1,2,5,3,1,0,4.918030337
28,0,1,4,-8,1,3000,1,4,5,2,1,0,3.477121255
29,1,1,4,-8,0,36000,1,2,5,3,1,0,4.556302501
44,1,1,4,-8,1,26664,1,3,5,2,1,0,4.425925301
44,0,1,4,-8,1,30000,1,3,5,3,1,0,4.477121255
24,0,1,5,6,1,36000,1,3,5,3,1,0,4.556302501
40,1,0,5,-8,0,50000,1,3,5,1,1,0,4.698970004
38,1,0,5,-8,1,40000,1,4,5,1,1,0,4.602059991
37,0,0,4,-8,1,36000,1,2,5,2,1,0,4.556302501
30,1,1,6,-8,1,72000,1,2,5,2,1,0,4.857332496
29,1,1,5,-8,1,58000,1,3,5,1,1,0,4.763427994
28,0,0,6,-8,1,12800,1,2,5,3,1,0,4.10720997
42,0,1,4,-8,1,20000,1,4,5,3,1,0,4.301029996
31,1,1,4,-8,1,60000,1,3,5,2,1,0,4.77815125
38,0,1,0,-8,1,40000,1,4,5,1,1,0,4.602059991
38,1,1,4,-8,0,47000,1,3,5,2,1,0,4.672097858
41,0,0,6,-8,1,18000,1,3,5,3,1,0,4.255272505
33,1,0,6,-8,1,100000,1,4,5,3,1,0,5
25,0,0,7,-8,0,93500,1,3,5,2,1,0,4.970811611
28,1,0,6,-8,1,31200,1,2,5,1,1,0,4.494154594
32,1,0,7,-8,1,2650,1,4,5,4,1,0,3.423245874
25,1,0,6,-8,1,80000,1,3,5,3,1,0,4.903089987
31,1,0,8,-8,1,160000,1,3,-8,3,1,0,5.204119983
26,0,0,5,-8,1,16000,1,3,5,4,1,0,4.204119983
73,1,1,4,-8,1,10000,1,3,1,1,1,0,4
31,1,0,6,-8,1,42000,1,3,5,1,1,0,4.62324929
29,1,1,3,-8,1,23400,1,1,5,1,1,0,4.369215857
29,1,1,4,-8,1,44000,1,1,5,2,1,0,4.643452676
24,1,0,3,3,1,78000,1,3,5,1,1,0,4.892094603
33,0,0,7,-8,1,70000,1,3,5,5,1,0,4.84509804
33,1,1,4,-8,1,3300,1,2,5,5,1,0,3.51851394
31,1,1,4,-8,1,70000,1,3,5,4,1,0,4.84509804
30,1,1,4,-8,1,50000,1,2,5,1,1,0,4.698970004
27,1,1,4,-8,1,8000,1,3,5,3,1,0,3.903089987
40,1,0,3,-8,0,120000,1,5,5,3,1,0,5.079181246
32,1,1,4,-8,0,55000,0,1,5,1,1,0,4.740362689
31,1,1,4,-8,1,50000,1,1,5,5,1,0,4.698970004
30,1,1,4,-8,0,10000,1,1,5,3,1,0,4
29,1,1,5,-8,1,45000,1,2,5,3,1,0,4.653212514
29,1,1,4,-8,1,40000,1,2,5,2,1,0,4.602059991
33,1,1,4,-8,0,4500,1,3,5,3,1,0,3.653212514
46,1,1,3,-8,1,22000,0,1,5,5,1,0,4.342422681
42,1,1,6,-8,1,12000,1,5,-8,3,1,0,4.079181246
32,1,1,4,-8,1,30000,1,1,5,3,1,0,4.477121255
27,1,1,5,-8,1,18200,1,3,5,1,1,0,4.260071388
29,0,0,7,-8,1,31200,1,3,5,3,1,0,4.494154594
40,0,1,3,-8,1,5000,1,1,5,3,1,0,3.698970004
42,1,1,4,-8,1,30000,1,3,5,3,1,0,4.477121255
34,1,1,4,-8,1,50000,1,1,5,3,1,0,4.698970004
32,1,1,4,-8,1,130000,1,3,5,5,1,0,5.113943352
33,0,1,5,-8,1,16600,1,5,5,3,1,0,4.220108088
31,1,1,3,-8,1,35000,1,1,5,2,1,0,4.544068044
22,1,1,4,4,0,20000,1,3,5,3,1,0,4.301029996
30,1,1,6,-8,1,36000,1,2,5,3,1,0,4.556302501
25,0,1,4,-8,1,30000,1,1,5,3,1,0,4.477121255
19,1,1,4,4,0,18000,1,3,5,1,1,0,4.255272505
37,1,1,3,-8,1,60000,1,2,5,5,1,0,4.77815125
30,0,1,6,-8,1,24000,1,3,5,3,1,0,4.380211242
42,1,1,4,-8,1,25000,0,2,5,5,1,0,4.397940009
40,0,1,4,-8,1,2000,1,1,5,3,1,0,3.301029996
37,0,1,4,-8,1,25080,1,3,5,3,1,0,4.399327532
28,0,1,4,-8,1,17500,1,3,5,3,1,0,4.243038049
44,0,1,10,-8,1,13000,1,3,5,3,1,0,4.113943352
41,1,0,7,-8,1,58000,1,2,5,3,1,0,4.763427994
42,0,1,3,-8,1,30000,1,3,5,3,1,0,4.477121255
31,1,1,4,-8,0,45000,1,1,5,1,1,0,4.653212514
60,1,1,0,-8,1,9600,1,3,5,5,1,0,3.982271233
40,1,1,4,-8,1,40000,1,3,5,1,1,0,4.602059991
43,0,1,4,-8,1,3500,1,3,5,1,1,0,3.544068044
20,1,1,5,7,0,35000,1,3,5,2,1,0,4.544068044
43,1,1,3,-8,1,32000,1,2,5,1,1,0,4.505149978
30,1,1,3,-8,0,40000,1,1,5,5,1,0,4.602059991
25,0,1,4,-8,0,8000,0,1,5,2,1,0,3.903089987
63,0,1,0,-8,1,6900,0,1,5,3,1,0,3.838849091
33,1,1,4,-8,1,12250,1,3,-8,1,1,0,4.088136089
33,1,1,3,-8,1,30000,1,5,5,2,1,0,4.477121255
37,1,1,3,-8,1,3000,1,3,5,5,1,0,3.477121255
60,0,1,0,-8,1,1200,1,5,5,4,1,0,3.079181246
37,0,1,4,-8,0,24000,1,3,5,3,1,0,4.380211242
32,0,1,4,-8,1,25000,1,1,5,3,1,0,4.397940009
31,0,1,4,-8,1,30000,1,5,5,1,1,0,4.477121255
32,1,1,4,-8,1,48000,1,3,5,1,1,0,4.681241237
28,1,1,3,-8,1,16000,1,3,5,3,1,0,4.204119983
40,1,1,3,-8,0,20000,1,2,5,3,1,0,4.301029996
24,0,1,7,7,1,30000,1,3,5,2,1,0,4.477121255
42,1,1,4,-8,1,20000,1,3,5,3,1,0,4.301029996
39,0,1,4,-8,1,1500,1,3,5,2,1,0,3.176091259
22,0,1,6,6,0,3000,1,3,5,1,1,0,3.477121255
28,1,1,5,-8,1,36000,1,2,5,1,1,0,4.556302501
19,0,1,4,5,0,60000,1,3,5,3,1,0,4.77815125
28,0,1,7,-8,0,27000,1,2,5,2,1,0,4.431363764
25,1,1,7,-8,0,40000,1,2,5,2,1,0,4.602059991
30,1,1,3,-8,1,28000,0,1,5,1,1,0,4.447158031
29,0,1,4,-8,1,32400,1,1,5,1,1,0,4.51054501
22,1,1,4,4,1,48000,1,1,5,3,1,0,4.681241237
30,1,1,3,-8,1,40000,1,3,5,2,1,0,4.602059991
30,1,1,5,-8,1,55000,1,3,5,2,1,0,4.740362689
28,0,1,6,-8,0,20000,0,1,5,2,1,0,4.301029996
33,0,1,4,-8,1,10000,1,1,5,3,1,0,4
29,1,0,7,-8,0,144000,1,3,-8,3,1,0,5.158362492
43,1,1,5,-8,1,50000,1,3,5,2,1,0,4.698970004
37,1,1,4,-8,1,40000,1,3,5,4,1,0,4.602059991
39,1,1,4,-8,1,33000,1,4,5,2,1,0,4.51851394
30,0,0,7,-8,1,80000,1,4,5,2,1,0,4.903089987
35,0,1,7,-8,1,48000,1,3,5,3,1,0,4.681241237
39,0,0,6,-8,1,40000,1,3,5,3,1,0,4.602059991
39,1,0,7,-8,1,58000,1,4,-8,1,1,0,4.763427994
29,1,1,4,-8,0,50000,0,3,5,3,1,0,4.698970004
31,1,1,6,-8,1,15000,1,3,5,2,1,0,4.176091259
32,0,1,6,-8,1,58000,1,3,5,3,1,0,4.763427994
42,1,1,3,-8,1,78000,1,1,5,1,1,0,4.892094603
40,0,1,3,-8,1,52000,1,1,5,1,1,0,4.716003344
31,1,1,6,-8,0,83000,1,3,-8,2,1,0,4.919078092
27,1,1,6,-8,1,42000,1,4,1,3,1,0,4.62324929
28,0,1,6,-8,1,17200,1,3,5,2,1,0,4.235528447
43,1,1,4,-8,1,42000,1,3,5,2,1,0,4.62324929
43,0,1,4,-8,1,40000,0,4,5,3,1,0,4.602059991
29,1,1,7,-8,1,54000,1,3,5,1,1,0,4.73239376
30,0,1,6,-8,1,28200,1,3,5,2,1,0,4.450249108
31,1,1,4,-8,1,24000,1,3,5,2,1,0,4.380211242
62,1,1,0,-8,1,40000,1,5,5,1,1,0,4.602059991
33,1,1,5,-8,1,45000,1,2,5,3,1,0,4.653212514
30,0,1,6,-8,1,20000,1,3,5,1,1,0,4.301029996
39,1,0,5,-8,1,34500,1,2,-8,3,1,0,4.537819095
33,1,0,5,-8,1,72000,1,1,-8,2,1,0,4.857332496
30,0,0,4,-8,1,30000,1,2,5,5,1,0,4.477121255
29,1,1,5,-8,1,26100,1,4,5,1,1,0,4.416640507
44,0,0,6,-8,1,40000,1,3,5,3,1,0,4.602059991
32,1,0,5,-8,0,40000,1,3,5,3,1,0,4.602059991
43,0,0,5,-8,0,23000,1,3,1,2,1,0,4.361727836
21,1,0,6,6,0,2000,1,2,5,1,1,0,3.301029996
